TM,lat,lon,ERA5_precipitation,ERA5_start_soil,ERA5_delta_soil,soil_temperature,evaporation,leaf_area_index_low_vegetation,pressure,temperature,wind_u,wind_v,Aspect,Dem,Slope,CLCD,BD,CLAY,GRAVL,POROSITY,SAND,SILT,EVI-day,NDVI-day,fenqu_ID,texture_class,topography_class,joint_class,FC_0_7cm,ASML1_RSM,DSML1_RSM,END_RSM
2020_12_24,31.2958,105.3042,0.0012952417600899,0.34100341796875,0.0144195556640625,283.9840087890625,-0.0006573740392923,0.9296875,96753.625,283.60577392578125,-1.1255111694335938,0.6626739501953125,275.804443359375,425.0,0.2743336856365204,1.0,1.35,25.49,17.03,54.69,30.36,44.14,0.2878625094890594,0.6273062229156494,6.0,Loam,1,Loam_1,0.16962956,148.90985063057184,6.296751782973439,155.20660241354528
2019_04_19,39.2958,113.7042,0.0027656331658363,0.3475799560546875,0.0341339111328125,284.5654296875,-0.001355895306915,0.887451171875,86996.078125,284.3623046875,-1.2945098876953125,2.1796607971191406,17.982027053833008,1503.0,1.0323494672775269,1.0,1.26,14.56,26.23,50.98,44.0,41.43,0.152099996805191,0.2432562559843063,4.0,Sandy Loam,4,Sandy Loam_4,0.24152,114.21708677538534,11.216630366413671,125.433717141799
2020_04_19,48.1958,125.0042,0.0118981301784515,0.18524169921875,0.0365447998046875,285.24822998046875,-0.0006293589249253,2.6895751953125,97613.484375,285.308837890625,0.741485595703125,-4.9861907958984375,230.0694274902344,217.0,0.11359204351902,1.0,1.33,30.6,10.96,61.81,29.54,39.84,0.106624998152256,0.2237250059843063,1.0,Clay Loam,1,Clay Loam_1,0.34244,40.6726647286545,8.023972983947903,48.69663771260241
2021_10_20,26.8958,100.8042,0.0071917921304702,0.3619537353515625,0.0535125732421875,292.75537109375,-0.0019028191454708,2.9044189453125,74717.015625,291.6566467285156,1.281585693359375,2.135223388671875,278.6790771484375,2913.0,1.6756473779678345,1.0,1.23,24.21,22.85,54.45,33.7,42.07,0.3696437478065491,0.8259249925613403,8.0,Loam,7,Loam_7,0.28901783,101.81770777052608,15.0531048923416,116.87081266286768
2017_01_04,36.7958,115.4042,0.0003116503357887,0.2896881103515625,0.0237884521484375,277.7288513183594,-9.711924940347672e-05,0.68212890625,101954.984375,276.6396484375,-0.8248825073242188,-1.41387939453125,29.05460357666016,36.0,0.0132859488949179,1.0,1.32,18.61,11.29,50.53,33.62,47.75,0.343812495470047,0.5713750123977661,3.0,Loam,1,Loam_1,0.16902304,129.84069489004256,10.662188218782005,140.50288310882456
2022_10_24,33.0958,108.0042,0.0039141774177551,0.3444976806640625,0.0406036376953125,288.964599609375,-0.0002289991825819,2.4945068359375,93092.984375,288.4046630859375,-1.161895751953125,0.0539360046386718,36.33586502075195,537.0,0.2907474935054779,1.0,1.25,26.71,18.16,55.66,26.23,47.04,0.3728437423706054,0.6709562540054321,4.0,Loam,1,Loam_1,0.31549,87.35558798416749,10.296018940774667,97.65160692494216
2022_06_11,29.1958,119.5042,0.0131855010986328,0.48101806640625,0.00067138671875,295.6607971191406,-0.0012415284290909,2.6253662109375,98946.765625,296.402587890625,-2.531723022460937,-0.4825592041015625,211.2531890869141,34.0,0.9637246131896972,1.0,1.24,23.07,16.1,53.24,34.72,42.19,0.361299991607666,0.5196999907493591,7.0,Loam,1,Loam_1,0.2789661,139.0555323707473,0.1940884222913615,139.24962079303867
2021_06_01,45.6958,122.1042,0.0060578286647796,0.3079833984375,0.0882568359375,296.44451904296875,-0.0013593109324574,0.837646484375,97532.90625,294.801513671875,4.759735107421875,0.2847900390625,97.35237884521484,226.0,0.1210061833262443,1.0,1.49,22.11,8.07,48.93,41.09,36.78,0.2242249995470047,0.3431124985218048,1.0,Loam,1,Loam_1,0.389,53.13631552897638,15.226934652179914,68.3632501811563
2019_12_28,45.1958,123.5042,0.0016160607337951,0.2150115966796875,1.52587890625e-05,263.1565856933594,-0.0001090425066649,0.8533935546875,100843.7265625,260.626220703125,-2.8783416748046875,-1.316986083984375,315.0,136.0,0.0054748966358602,1.0,1.51,17.63,8.68,50.06,50.83,31.53,-0.0081000002101063,-0.0076000001281499,1.0,Sandy Loam,1,Sandy Loam_1,0.28698045,49.617242526655644,0.0035212009457565,49.6207637276014
2017_08_20,49.7958,126.4042,0.0161671340465545,0.342254638671875,0.0936126708984375,296.40728759765625,-0.0025140861980617,0.0,95072.0,298.4833984375,0.5085296630859375,2.137075424194336,268.1397705078125,490.0,0.3776488602161407,1.0,1.18,16.97,24.19,62.92,44.54,38.47,0.567674994468689,0.899524986743927,1.0,Sandy Loam,1,Sandy Loam_1,0.3012335,96.28620454206326,26.3359725753704,122.62217711743368
2022_02_12,27.8958,116.5042,0.0058614476583898,0.488616943359375,0.0067138671875,282.77691650390625,-0.0006048353388905,1.0677490234375,100975.125,281.66912841796875,0.2292938232421875,-2.6764678955078125,20.28255844116211,73.0,0.0632844492793083,1.0,1.25,20.4,8.08,52.38,43.78,35.81,0.2126562446355819,0.3268625140190124,7.0,Loam,1,Loam_1,0.29059,134.51720798633812,1.8483408754602704,136.3655488617984
2017_07_17,37.6958,114.8042,0.0038416907191276,0.2319183349609375,0.0185699462890625,309.1464233398437,-0.0025753816589713,2.12890625,100036.203125,307.48828125,-0.3925628662109375,-0.19964599609375,150.64224243164062,35.0,0.0236894283443689,1.0,1.33,15.43,30.5,50.27,40.51,44.04,0.3822250068187713,0.5658249855041504,3.0,Loam,1,Loam_1,0.17813782,97.88751649736956,7.837956943042224,105.7254734404118
